"","company_name","n"
"1","Tyson",133
"2","Poultry (general)",77
"3","ConAgra",37
"4","Peco",27
"5","Hytrol Conveyor Company",19
"6","Simmons Foods",19
"7","Tyson Berry St.",17
"8","OK Foods",16
"9","Wayne Farms",16
"10","Poultry (general) All Counties",15
"11","Tyson Clarksville",15
"12","Tyson Dardanelle",15
"13","Frito Lay",14
"14","George's Poultry Springdale",14
"15","Ozark Mountain Poultry/Georges",14
"16","Poultry (general) Benton County",14
"17","Poultry (general) Pope County",14
"18","Poultry (general) Sebastian County",14
"19","Poultry (general) Washington County",14
"20","Tyson Rogers Elm St",14
"21","Pilgrim's Pride DeQueen",13
"22","Poultry (general) Johnson County",13
"23","Poultry (general) Yell County",13
"24","Tyson Van Buren",13
"25","Poultry (general) Sevier County",12
"26","Twin Rivers Foods",12
"27","Butterball Huntsville",11
"28","Cargill Poultry Springdale",11
"29","ABB",9
"30","George's Poultry",9
"31","Southeast Poultry",9
"32","Tyson Broken Bow",9
"33","Lennox Industries",8
"34","Nebo Poultry",8
"35","Poultry (general) Madison County",8
"36","Tyson Olrich St.",8
"37",NA,8
"38","Tyson Grannis",7
"39","Tyson Green Forrest",7
"40","Tyson Randall Road",7
"41","Tyson Tyler Road, Russellville",7
"42","Best Manufacturing",6
"43","Evergreen Packaging",6
"44","Husqvarna",6
"45","Lockheed Martin",6
"46","Poultry (general) Polk County",6
"47","Riceland Foods",6
"48","Saracen Casino Construction",6
"49","Tyson Chick-N-Quick Rogers",6
"50","Belleville Boot",5
"51","Hino Motors",5
"52","Simmons Foods Gentry",5
"53","Simmons Foods Siloam Springs",5
"54","Triumph Airborne Structures",5
"55","Tyson's Chick-N-Quick",5
"56","Wilson Brothers Lumber Co",5
"57","American Greetings Co.",4
"58","Butterball",4
"59","Butterball Ozark",4
"60","Cargill Poultry",4
"61","Kagome Foods",4
"62","McKee Foods",4
"63","Peco Batesville",4
"64","Peco Pocahontas",4
"65","Simmons Foods Van Buren",4
"66","Springdale Public School District",4
"67","Tyson Mexican Origian",4
"68","Unilever",4
"69","Dassault Falcon Jet LLC",3
"70","DENSO Manufacturing",3
"71","Dooley Agri",3
"72","George's Poultry Batesville",3
"73","JW Aluminum Co.",3
"74","Park Hill Collection Warehouse",3
"75","Pilgrim's Pride",3
"76","Pilgrim's Pride Poultry",3
"77","PotlatchDeltic",3
"78","Poultry (general) Randolph County",3
"79","Roach Manufacturing",3
"80","Textbook Brokers",3
"81","TMC Logistics",3
"82","Tyson Corporate",3
"83","Tyson Nashville",3
"84","Tyson's Mexican Original",3
"85","Vacation Tour and Travel",3
"86","APAC-Central",2
"87","Arkansas Glass Container",2
"88","Bell & Company",2
"89","Big River Steel",2
"90","Centene Corporation",2
"91","Consulate of Mexico",2
"92","Diamond Pet Foods",2
"93","Domtar Paper Co.",2
"94","Frito Lay Jonesboro",2
"95","Gates Rubber Corportation",2
"96","Global Food Group",2
"97","Land O'Frost",2
"98","MAHLE Engine Components",2
"99","Nice Pak",2
"100","Pine Bluff Fire and Emergency",2
"101","Poultry (general) Little River County",2
"102","Producers Rice Mill Inc",2
"103","Radius Aerospace",2
"104","Rineco Chemical Industries",2
"105","Rockline Industries",2
"106","Spirit Fitness",2
"107","SYKES Enterprises Call Center",2
"108","Tyson Hope",2
"109","Tyson Mexican Original",2
"110","Tyson of Rogers",2
"111","Walmart Regional Distribution Center, Bentonville",2
"112","Welspun Pipes Inc.",2
"113","Adams Fertilizer Equipment",1
"114","Aerojet Rocketdyne",1
"115","Alma Tractor",1
"116","Arkansas Nuclear One",1
"117","Big Rock KangaRoof",1
"118","City of Camden",1
"119","Claudia's Canine Bakery",1
"120","Clean Harbors Evnvironmental Services",1
"121","ConAgra/Pinnacle Foods",1
"122","Cooper Tire",1
"123","Custom Craft Poultry",1
"124","De Wafelbakkers",1
"125","Dillar's Corporate Headquarters",1
"126","Dillards Fulfillment Center",1
"127","Duke Custom Cabinets Inc.",1
"128","Gates Corportation",1
"129","Great Dane Trailers",1
"130","Greenbrier Rail",1
"131","Hixson Lumber",1
"132","Hooters",1
"133","JB Hunt",1
"134","L'Oreal Manufacturing center",1
"135","La-Z-Boy Furniture",1
"136","Lamb & Associates Packaging",1
"137","Maynard Inc.",1
"138","Nabholz",1
"139","Nashville School District",1
"140","Nestle",1
"141","Nucor-Yamato Steel",1
"142","Pace Industries",1
"143","Pet Solutions",1
"144","Quality Voices",1
"145","Roehm America",1
"146","Roehm America/Evonik",1
"147","Shelby Group International Inc.",1
"148","Shippers Products",1
"149","Simmons",1
"150","Simmons Foods Fort Smith",1
"151","Stephens Inc.",1
"152","Target",1
"153","Tenneco Inc.",1
"154","Triumph Airborne Structures in Hot Springs",1
"155","Tyson Berryville",1
"156","Utility Trailer Manufacturing Co.",1
"157","Walmart Batesville",1
"158","WeatherBarr Windows & Doors",1
"159","West Tree Services",1
"160","Wilson Combat Scattergun Tech",1
